Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,y_labels
2,298.54837574695597,308.8557031872147,1425,38.98942405365329,218,5,Tool Wear Failure
1,297.2417335857715,308.0208124708062,1547,35.805257439781094,206,5,Tool Wear Failure
1,301.89719542845546,310.9971954284555,1531,37.32088307389962,206,5,Tool Wear Failure
2,301.13625462462113,310.8137966388608,1801,27.339780679559272,212,5,Tool Wear Failure
1,298.4251833970255,308.7125916985127,1442,39.613325286614554,213,5,Tool Wear Failure
1,300.12809332201965,309.861722750428,1448,42.673889643468605,208,5,Tool Wear Failure
2,301.38738455154646,311.0983946627073,1702,29.84449494441958,217,5,Tool Wear Failure
1,300.90369467881004,310.3312104848643,1398,46.5706368545407,208,5,Tool Wear Failure
0,300.5614041317304,309.98912330538434,1401,43.83815929639342,214,5,Tool Wear Failure
2,300.2952240095198,309.8970928753599,1394,46.68131134159927,210,5,Tool Wear Failure
1,301.6871494710406,310.74785824517346,1605,31.320308089782383,232,5,Tool Wear Failure
1,299.91763496654823,309.79569930172175,1435,41.12064615654549,213,5,Tool Wear Failure
1,302.1166648296021,311.18888643946946,1540,37.7722326322548,208,5,Tool Wear Failure
0,300.54381936935357,311.56067464608367,1379,47.638764961406906,219,5,Tool Wear Failure
1,301.1577871874715,310.0312277743652,1532,36.77500987805989,208,5,Tool Wear Failure
1,301.6153121349261,310.5148250200459,1490,44.4295282613718,230,5,Tool Wear Failure
0,299.96677659474835,309.5667765947483,1396,44.034212757986744,216,5,Tool Wear Failure
1,297.5191569881482,308.3379135871381,1474,40.629989441616246,222,5,Tool Wear Failure
1,299.8188787601321,309.72756144537027,1538,36.62609776230154,206,5,Tool Wear Failure
1,301.99644488774413,310.8517775561279,1442,43.29208738166988,208,5,Tool Wear Failure
1,300.2577897646208,311.5311590584832,1375,47.47789764620797,221,5,Tool Wear Failure
1,301.53954905590484,310.86385315012586,1532,37.11307992148251,206,5,Tool Wear Failure
2,301.2226754620724,310.8304951911014,1719,29.21841824872459,220,5,Tool Wear Failure
1,298.65271976633454,309.7683681401993,2249,16.57958231760841,218,5,Tool Wear Failure
1,299.6691478109365,309.51687164278064,1558,37.57225459899937,210,5,Tool Wear Failure
1,301.61875487188416,310.9201733333861,1647,32.660520000158314,230,5,Tool Wear Failure
1,298.5616360549465,308.78081802747323,1447,40.227362247259286,211,5,Tool Wear Failure
0,300.0269546186878,310.60781847475107,1385,45.16954618687769,221,5,Tool Wear Failure
2,300.66168607124825,310.2981322767181,1661,30.25466930820472,234,5,Tool Wear Failure
1,301.44432937202146,311.2659789118087,1454,50.69432803218151,239,5,Tool Wear Failure
1,300.91919972707797,309.74221264982043,1439,39.687540239712646,214,5,Tool Wear Failure
1,301.6058598715193,311.05090002793054,1704,29.97747992179438,217,5,Tool Wear Failure
1,299.59074507261425,308.6907450726143,1540,37.47994861568177,203,5,Tool Wear Failure
2,300.5371593042359,309.7142034788205,1390,46.53170817201032,223,5,Tool Wear Failure
2,301.2141086258104,310.519324509218,1633,29.842026472346024,224,5,Tool Wear Failure
1,303.1914805804483,311.41550277422164,1498,45.724825757565306,233,5,Tool Wear Failure
1,299.6490515039298,310.7491418368889,2184,17.548780505052612,224,5,Tool Wear Failure
1,299.6,310.34716436318763,1909,23.32352237578749,209,5,Tool Wear Failure
1,300.8248921568198,310.35933455880746,1656,30.10166360298138,234,5,Tool Wear Failure
1,299.08406414178927,310.5260962126839,1840,24.913154552206688,223,5,Tool Wear Failure
1,299.95469759173227,309.0295169151272,1548,37.87771014907632,205,5,Tool Wear Failure
1,299.8654869966229,311.09498555180323,1528,38.35361380264748,212,5,Tool Wear Failure
1,300.4829463316777,309.9,1396,45.96821467328934,210,5,Tool Wear Failure
2,298.4951202771846,308.8211590987143,1425,38.86420173283945,218,5,Tool Wear Failure
1,299.3959322546666,309.3474779978933,1557,37.397396642986656,209,5,Tool Wear Failure
2,299.4813849641519,310.7,1867,24.39718908159497,210,5,Tool Wear Failure
1,300.1432621741282,311.1962848242112,2143,18.184194223879096,228,5,Tool Wear Failure
1,299.81841267071644,309.86883590036325,1534,38.10481478250251,207,5,Tool Wear Failure
1,299.601045552086,309.2023762547409,1867,23.3957227414664,225,5,Tool Wear Failure
1,298.81521135571904,309.05081848359396,1431,39.154160796688046,217,5,Tool Wear Failure
1,300.4832450373541,311.5038883671299,2114,18.6213150480267,230,5,Tool Wear Failure
1,300.37890856133146,309.4374120782033,1552,38.12244724692201,207,5,Tool Wear Failure
0,300.62978958725535,309.67864383389934,1554,38.26718630033962,208,5,Tool Wear Failure
1,299.53627752600244,309.3846700681291,1615,32.35485613480517,225,5,Tool Wear Failure
1,304.0336289593129,312.9339514603816,1505,38.663710406870614,214,5,Tool Wear Failure
0,299.2458550812199,309.08628474410347,1407,40.77799490654327,220,5,Tool Wear Failure
1,300.5123964903062,311.5302634912294,2112,18.658795487536498,230,5,Tool Wear Failure
1,302.19912105787694,312.62777692563236,1517,37.20087894212307,210,5,Tool Wear Failure
1,297.9550706391126,308.64853272688464,1470,40.990527541541354,220,5,Tool Wear Failure
2,301.39075850808075,310.6422987567339,1402,46.27114937836697,207,5,Tool Wear Failure
2,300.5286208705236,310.2643104352618,1656,30.5,223,5,Tool Wear Failure
1,300.32128298757976,309.92119545229946,1561,37.98962111205108,211,5,Tool Wear Failure
1,299.07886199703995,309.1218994451081,1615,32.97771983381791,223,5,Tool Wear Failure
0,300.16808282617865,311.1723313047145,1379,46.58082826178614,221,5,Tool Wear Failure
1,301.4896787186811,310.83380723120865,1639,32.23487350142806,221,5,Tool Wear Failure
1,301.9082963142852,311.00829631428525,1531,37.320117495566535,206,5,Tool Wear Failure
1,301.90562198756413,311.76586306735703,1456,52.89046046580128,248,5,Tool Wear Failure
1,302.3519731950113,310.19064284001,1444,42.60146437994483,219,5,Tool Wear Failure
2,301.44959939460847,310.7211424247203,1403,46.4536572725839,207,5,Tool Wear Failure
1,299.4250873124347,308.50983276213776,1541,37.45118543904989,203,5,Tool Wear Failure
1,301.45528863629386,310.70921477271565,1597,33.039942614153986,231,5,Tool Wear Failure
1,301.92970110158427,311.89860007597133,1522,37.42099886043004,214,5,Tool Wear Failure
2,298.9840044878973,309.0989592535027,1414,41.55045234394608,215,5,Tool Wear Failure
1,298.7052873982872,308.8594088849802,1456,41.24587851330696,208,5,Tool Wear Failure
0,300.3865654327816,309.8149240745862,1397,45.33282716390812,211,5,Tool Wear Failure
0,299.4099780881432,309.1635191003027,1404,41.18347527658909,220,5,Tool Wear Failure
1,299.3527617438813,309.2792461081871,1615,32.60474996577872,224,5,Tool Wear Failure
1,303.8640004281964,312.7888007279339,1515,35.48239961462322,210,5,Tool Wear Failure
1,301.84146338980287,311.40545194417564,1528,37.637446221361984,208,5,Tool Wear Failure
1,300.036817829134,311.09710711739456,1991,21.552728683463915,215,5,Tool Wear Failure
2,301.4467527392464,310.5925322772174,1634,29.51866930695648,234,5,Tool Wear Failure
1,303.3882993998265,311.9924396121956,1521,35.89981999076656,214,5,Tool Wear Failure
1,298.67496004347004,309.86746403912304,2244,16.732216308637092,217,5,Tool Wear Failure
1,302.67557249410555,311.48920392941346,1503,44.416630252910494,229,5,Tool Wear Failure
1,302.1263167498972,310.76052943716604,1446,49.17501140502969,241,5,Tool Wear Failure
1,299.71733888365867,309.58246017036623,1535,37.98689536426844,206,5,Tool Wear Failure
1,302.678354438653,310.5108227806735,1445,40.97359490857974,210,5,Tool Wear Failure
1,302.3101331277654,311.3642443245298,1529,37.17151135094035,207,5,Tool Wear Failure
1,302.0190467085964,310.8404766457018,1442,43.215241190772154,208,5,Tool Wear Failure
1,302.5880143338391,311.02590583642393,1494,45.336284548494085,232,5,Tool Wear Failure
1,301.62845402253197,310.9170724135192,1638,32.50548534393731,222,5,Tool Wear Failure
1,300.1577127214223,309.93324967034636,1622,34.86080892048636,222,5,Tool Wear Failure
2,300.3510186865665,309.9,1394,46.4959252537341,210,5,Tool Wear Failure
1,299.5785483636395,309.18922036364535,1537,37.824973090912806,205,5,Tool Wear Failure
1,301.9985643301062,310.3453340728451,1444,47.65795142001106,237,5,Tool Wear Failure
1,301.51789480951356,310.61185598245237,1693,30.441163431078234,224,5,Tool Wear Failure
1,299.68506571460455,309.66786143032493,1829,24.59092000446352,223,5,Tool Wear Failure
1,300.4805963563526,309.9,1396,45.97761457458967,210,5,Tool Wear Failure
1,297.0541725820571,307.8385431455143,1548,35.90920557895711,205,5,Tool Wear Failure
1,302.81151465990723,312.92612252662144,1515,36.588485340092774,208,5,Tool Wear Failure
2,301.89758123402845,310.9874823404286,1706,30.155049446799918,217,5,Tool Wear Failure
1,300.02251479791727,309.1508487115611,1537,37.14582607945231,203,5,Tool Wear Failure
1,298.8781732446061,310.2172598669091,2023,21.20711840290926,221,5,Tool Wear Failure
1,301.5743867679895,310.67438676798946,1532,37.34314574013865,206,5,Tool Wear Failure
1,301.5662728639005,309.62563227487743,1443,45.04502494243691,232,5,Tool Wear Failure
1,301.57316343870343,312.32282321372736,1519,37.82683656129653,211,5,Tool Wear Failure
1,302.05204535088495,312.55612465812345,1518,37.347954649115046,210,5,Tool Wear Failure
1,298.2535277273923,308.6713025185083,1429,38.15223864886191,219,5,Tool Wear Failure
1,298.9382309673173,309.59706141960964,2134,18.63526296468445,220,5,Tool Wear Failure
1,298.73110103225747,308.8655505161287,1452,40.98995464515846,209,5,Tool Wear Failure
1,296.9682384958839,307.87582055098216,1548,35.858760927011154,206,5,Tool Wear Failure
2,298.84547317856396,308.9734649799958,1418,40.47315202568972,216,5,Tool Wear Failure
2,300.4985793184546,311.51689028950415,2064,19.705682726181657,227,5,Tool Wear Failure
1,300.97368213624117,310.4740456848643,1444,43.54863669266325,208,5,Tool Wear Failure
2,299.3201862969538,310.7,1792,25.888276753177436,218,5,Tool Wear Failure
1,301.4891066694107,310.44851367375816,1490,44.31187909860322,230,5,Tool Wear Failure
1,300.5970603744435,311.771452831046,1524,38.80864905934729,213,5,Tool Wear Failure
1,301.2759947781341,310.3365396291891,1489,44.11321547114192,229,5,Tool Wear Failure
2,299.0004847733671,309.10008079556115,1868,24.132740832551406,216,5,Tool Wear Failure
1,299.9050583964556,309.4640467171645,1399,42.3613813920251,219,5,Tool Wear Failure
1,303.4119179829782,312.02026057106303,1520,35.889273815319584,214,5,Tool Wear Failure
2,300.51618457643826,310.4536616098632,1654,30.29046144109559,216,5,Tool Wear Failure
1,299.91269048094813,310.9842640735892,1971,22.049238076207498,212,5,Tool Wear Failure
1,302.1211017348037,311.2211017348037,1530,37.30544125966871,206,5,Tool Wear Failure
0,297.9677412015407,307.45927355134813,1603,36.14911237111702,224,5,Tool Wear Failure
1,301.3602354464617,311.5469895745701,1527,38.090366638624296,210,5,Tool Wear Failure
2,301.5170932213893,310.76935230099235,1403,46.439194309702295,207,5,Tool Wear Failure
2,300.4526347088497,310.22631735442485,1664,30.5,229,5,Tool Wear Failure
1,299.0463591705539,309.3473994075385,1596,36.64739940753849,221,5,Tool Wear Failure
2,298.6018647461371,309.93096895931916,1794,26.40186474613712,214,5,Tool Wear Failure
1,299.65489085864675,309.5018997225571,1842,24.168472021054477,223,5,Tool Wear Failure
1,301.7623385393834,310.9688307303083,1441,44.08804896609641,208,5,Tool Wear Failure
1,300.7442106878047,309.41845618341455,1446,43.89228091707289,224,5,Tool Wear Failure
2,301.45231641273136,310.58769552047994,1692,30.444614925645716,225,5,Tool Wear Failure
1,301.2478146698939,310.3478146698939,1533,37.36566795380042,205,5,Tool Wear Failure
1,302.6006829658318,311.5337317300686,1526,36.83253653986282,209,5,Tool Wear Failure
1,300.45085183219777,310.2254259160989,1665,30.5,229,5,Tool Wear Failure
1,299.697172790957,309.9020123055732,1438,44.00905537507923,232,5,Tool Wear Failure
2,299.667457022161,310.70499681645634,1916,23.477386984201132,205,5,Tool Wear Failure
1,298.40901515683737,308.732435067216,1460,41.07658008962134,211,5,Tool Wear Failure
2,301.32335559723464,310.5401836410864,1689,30.451402336987652,226,5,Tool Wear Failure
1,301.6433141814893,311.8788492538958,1522,37.7172611915628,214,5,Tool Wear Failure
2,301.0994276974309,310.4576838885272,1685,30.46318801592469,228,5,Tool Wear Failure
1,299.95008557902247,309.8176253912314,1435,41.17853103285092,213,5,Tool Wear Failure
2,301.1931858228626,310.49222635579144,1687,30.45825337774407,227,5,Tool Wear Failure
0,300.11027292053393,309.7102729205339,1395,45.1821833642714,213,5,Tool Wear Failure
2,301.6334208873851,310.8506237694359,1762,28.647143814975685,214,5,Tool Wear Failure
1,298.34450232618354,308.75391663049857,1543,36.208821413070815,206,5,Tool Wear Failure
1,301.508967225981,310.84365760206293,1532,37.10442468659839,206,5,Tool Wear Failure
2,299.52422262673304,310.7,1886,24.00094070271939,208,5,Tool Wear Failure
2,299.52091837559345,310.98080357864427,1718,27.802295938983594,221,5,Tool Wear Failure
2,297.89396708117397,308.99396708117393,1873,25.479930951833254,200,5,Tool Wear Failure
2,300.6707945508431,310.77931811487724,1837,26.115793078142943,210,5,Tool Wear Failure
1,301.8378767769728,310.9378767769728,1531,37.32497401538118,206,5,Tool Wear Failure
2,301.03562317690705,310.42544512636215,1399,46.542366462091344,208,5,Tool Wear Failure
1,299.6437963890218,309.4408801396198,1847,24.013149446304986,224,5,Tool Wear Failure
1,299.68114129549116,309.64627712520127,1831,24.535978136876043,223,5,Tool Wear Failure
2,300.5989912539426,310.301849367772,1648,30.497478134856436,216,5,Tool Wear Failure
1,303.8954989022357,312.6451340683111,1503,40.04501097764255,218,5,Tool Wear Failure
1,298.2942043616415,308.8101459726011,1604,36.110145972601075,219,5,Tool Wear Failure
1,302.69947749545736,310.50940508176694,1446,40.9726281314227,211,5,Tool Wear Failure
2,300.50334410814446,309.88327945927756,1396,45.95684983845626,211,5,Tool Wear Failure
2,299.64740876713256,311.091482671241,1711,28.118521917831472,219,5,Tool Wear Failure
2,298.26872559581824,308.97812093263633,1869,25.0271131606666,206,5,Tool Wear Failure
1,298.75952170096673,308.8232007238156,1431,38.217121158104995,218,5,Tool Wear Failure
1,299.91281721133106,309.9109482075705,1932,22.120293226373036,226,5,Tool Wear Failure
1,299.5669067355116,309.61127115700776,1637,32.0339869684828,217,5,Tool Wear Failure
1,299.2168564088424,309.07101801388404,1454,41.25724549652899,208,5,Tool Wear Failure
1,301.3696320251603,311.6757668535485,1515,41.105138349513595,220,5,Tool Wear Failure
2,300.73787465190804,311.42837979430413,1674,30.532508892424364,219,5,Tool Wear Failure
1,297.82859157337396,308.4836821028746,1468,40.744909470499415,217,5,Tool Wear Failure
0,300.31162702256734,309.78930161805386,1400,43.27616080077649,216,5,Tool Wear Failure
2,300.1110867755884,310.3203805101715,1686,29.657336428799482,231,5,Tool Wear Failure
1,302.08592435634745,311.14789914179664,1544,37.946428647364336,209,5,Tool Wear Failure
2,299.2619292415878,310.7541880863893,1733,27.154823103969502,224,5,Tool Wear Failure
1,300.2334298558284,309.9539085222276,1534,35.851283536243514,210,5,Tool Wear Failure
2,299.4746407753566,310.940310678437,1721,27.686601938391483,221,5,Tool Wear Failure
2,299.59428475927876,310.53571468363384,1715,28.14999721456303,227,5,Tool Wear Failure
1,302.0977436976227,310.8011281511886,1442,42.94767142808267,209,5,Tool Wear Failure
1,302.5867897893633,311.5256273771286,1527,36.848745245742805,209,5,Tool Wear Failure
1,301.0454168769746,310.6669318755385,1574,38.145416876974636,224,5,Tool Wear Failure
1,304.2442588407754,313.53010055357316,1510,35.1628203028257,205,5,Tool Wear Failure
2,300.3264270776354,311.3603882523958,2037,20.394291689458367,222,5,Tool Wear Failure
1,298.877703903179,309.22505974610436,1433,40.962768857469726,226,5,Tool Wear Failure
1,301.162308942626,309.84566337984086,1440,39.85306140774538,213,5,Tool Wear Failure
1,301.361360300418,310.209974897928,1531,36.69556671203199,209,5,Tool Wear Failure
2,299.2198771945055,310.7,1746,26.81613595082387,224,5,Tool Wear Failure
2,300.2800246040808,310.55992618775764,1677,30.050092265302904,228,5,Tool Wear Failure
1,301.7980832112475,309.72491825378245,1441,45.28083211247502,232,5,Tool Wear Failure
2,301.4639787429269,310.8183872457561,1639,32.18475854870742,221,5,Tool Wear Failure
1,299.6891322269309,309.2561202910305,1861,23.63108355130229,224,5,Tool Wear Failure
1,299.55393675252645,310.65854307727375,1938,22.9729509429375,205,5,Tool Wear Failure
1,302.51107375882674,310.33206556340156,1445,41.82363940129142,215,5,Tool Wear Failure
0,300.5955021664716,310.1110729760511,1396,46.636678107184665,209,5,Tool Wear Failure
1,299.8560878744754,309.8040585829836,1640,31.604596792445612,217,5,Tool Wear Failure
1,298.31523784793904,308.7144613786683,1542,35.821772889968294,207,5,Tool Wear Failure
2,300.3741977555115,310.77575469390393,1726,28.28782979636743,222,5,Tool Wear Failure
1,300.85769476218377,310.6096157936973,1578,37.47209718047059,227,5,Tool Wear Failure
1,301.3812082871626,310.56149779000725,1691,30.448357458570385,225,5,Tool Wear Failure
1,299.70878827636346,309.3087882763635,1398,41.970306210907935,220,5,Tool Wear Failure
2,299.23154244792767,310.7,1751,26.708232356669114,223,5,Tool Wear Failure
0,299.71434838548026,309.35739354192106,1398,42.04348385480257,221,5,Tool Wear Failure
1,300.3665758500421,311.47771723336143,2016,20.700490409772538,230,5,Tool Wear Failure
1,301.5178486200989,311.46757586161453,1458,51.82408370527187,246,5,Tool Wear Failure
1,299.90148807062485,310.85818438843665,1735,27.620832988747924,218,5,Tool Wear Failure
2,300.76249622433147,310.2918894428096,1411,44.19559923018479,210,5,Tool Wear Failure
1,301.8944310967544,309.7839387526705,1442,44.83833686031212,230,5,Tool Wear Failure
2,299.65914330889836,311.10175039528605,1711,28.147858272245966,219,5,Tool Wear Failure
0,300.08953342619384,310.85813370477524,1382,45.79533426193812,221,5,Tool Wear Failure
1,298.5657712448892,308.79961624780964,1458,41.16615499707953,210,5,Tool Wear Failure
2,299.7920880404961,310.4532966497933,1704,28.726923451446883,229,5,Tool Wear Failure
2,300.4176734172583,310.2088367086291,1668,30.5,232,5,Tool Wear Failure
1,297.28152454533426,308.0519501714472,1547,35.907978644905924,206,5,Tool Wear Failure
2,298.1639243346825,309.313550380321,1841,26.16242851723659,202,5,Tool Wear Failure
1,301.89744425325483,310.8993029781604,1567,38.997444253254876,214,5,Tool Wear Failure
1,300.4032138119715,310.2016069059857,1670,30.5,233,5,Tool Wear Failure
2,299.4310475650295,309.1718412608382,1867,23.606497420519545,222,5,Tool Wear Failure
2,300.3613869107404,309.8223766700146,1398,45.4453490672285,210,5,Tool Wear Failure
2,300.71723489851195,310.31687601524123,1677,30.483303426394105,231,5,Tool Wear Failure
0,302.03734147976775,311.08312197302365,1550,38.22173161464935,210,5,Tool Wear Failure
1,304.141038394975,313.2597652714575,1512,35.23306544452248,207,5,Tool Wear Failure
1,299.7971392529246,308.83651251476306,1539,37.305994437883086,204,5,Tool Wear Failure
1,298.1573337859123,308.5786668929561,1434,38.408002036605104,217,5,Tool Wear Failure
2,299.36337000179776,310.710540000116,1735,27.179180001971773,224,5,Tool Wear Failure
1,302.51494066107057,310.33550280984053,1445,41.804734545877096,215,5,Tool Wear Failure
2,298.5748454804952,308.9498969869968,1627,33.50704761987084,217,5,Tool Wear Failure
1,298.48767913165943,308.7661481992826,1459,41.12153093237682,211,5,Tool Wear Failure
2,300.8915728614028,310.8091337329937,1722,28.855273460893358,221,5,Tool Wear Failure
2,300.35237264290663,311.38397512991514,2041,20.290509428373376,223,5,Tool Wear Failure
1,301.7,310.980977206918,1434,44.699478654722284,207,5,Tool Wear Failure
1,300.44816317869316,309.54177156540135,1437,39.36683450464217,215,5,Tool Wear Failure
1,299.71398335473236,309.6582908946346,1538,36.59641038341482,206,5,Tool Wear Failure
0,301.7153027043513,310.7224064464916,1565,38.89344386789499,213,5,Tool Wear Failure
1,303.49986140055717,311.8178920193468,1499,44.00138599442833,228,5,Tool Wear Failure
1,301.5307493592929,310.79929527980715,1570,38.63074935929287,218,5,Tool Wear Failure
1,300.3447493185311,310.7679595826929,1666,29.86187329632782,216,5,Tool Wear Failure
1,299.5805140958143,309.41008256568057,1615,32.29461910357206,225,5,Tool Wear Failure
1,299.7123243714811,309.4858033623402,1615,32.11513277074917,226,5,Tool Wear Failure
2,300.5678332817375,309.6466115066795,1379,47.632166718262546,243,5,Tool Wear Failure
0,300.0459107944504,310.6836431778016,1384,45.359107944504004,221,5,Tool Wear Failure
2,299.7428401110479,310.4738166203967,1707,28.583283657222996,229,5,Tool Wear Failure
2,300.4070071244009,311.4336428403644,2050,20.071971502396426,224,5,Tool Wear Failure
1,298.9359604529665,310.1039642193507,2243,16.631949153814112,220,5,Tool Wear Failure
1,299.74342379583004,309.77145215087006,1456,42.570932656780066,214,5,Tool Wear Failure
1,297.6037403392275,308.3169573851625,1611,35.61695738516247,217,5,Tool Wear Failure
2,299.8605344176562,310.93684947059654,1963,22.257862329375197,211,5,Tool Wear Failure
1,301.2248100737922,310.35467812749766,1615,30.05557777185748,232,5,Tool Wear Failure
1,301.32646275988134,309.550461924173,1440,44.35292551976265,231,5,Tool Wear Failure
1,302.40976978958537,311.1195395791707,1680,31.86359719447123,221,5,Tool Wear Failure
2,298.8322707596947,309.35878700430874,1834,26.701088810341034,204,5,Tool Wear Failure
2,300.40352719936965,309.37816968881884,1384,46.35567226267438,240,5,Tool Wear Failure
1,299.5781227301695,309.2820397618644,1859,23.59689542847456,225,5,Tool Wear Failure
1,302.60176700447954,312.26819391936823,1453,54.55438637734347,252,5,Tool Wear Failure
1,301.71027682426495,310.8664012845553,1441,44.40276824264978,210,5,Tool Wear Failure
1,301.9072642849798,311.3860987397118,1528,37.57551596707781,208,5,Tool Wear Failure
2,300.8380325423036,310.21042603384285,1402,44.460573220183086,213,5,Tool Wear Failure
1,301.367884444208,311.54473986935056,1527,38.08316758192185,210,5,Tool Wear Failure
1,300.7390062608947,311.7297040409133,1524,38.67505293092261,213,5,Tool Wear Failure
2,300.47256499754275,310.3770016855056,1377,47.727435002457256,235,5,Tool Wear Failure
1,299.2697041676266,310.4330046306963,1532,37.840578588789626,211,5,Tool Wear Failure
1,301.98464779035794,310.2065221704033,1447,40.97336945739918,210,5,Tool Wear Failure
1,300.5266789177786,311.8129974214819,1523,38.87332108222138,213,5,Tool Wear Failure
2,301.225858907,311.1335089332608,1701,29.746174986869562,217,5,Tool Wear Failure
1,297.6544358017635,307.9886089504409,1546,36.33439202624916,205,5,Tool Wear Failure
0,300.16423359951375,311.15693439805483,1379,46.54233599513716,221,5,Tool Wear Failure
2,299.30544546391735,310.79226478092767,1731,27.263613659793357,223,5,Tool Wear Failure
1,300.2322256466682,311.4289025866727,1376,47.22225646668177,221,5,Tool Wear Failure
1,301.66997027301466,310.74499504550244,1604,31.4477204751414,232,5,Tool Wear Failure
0,300.3447225239585,311.2974972843732,1379,47.45277476041467,219,5,Tool Wear Failure
1,301.41409745240065,310.3141295946737,1613,30.014611728769598,233,5,Tool Wear Failure
1,301.44394993883344,310.71710709916675,1402,46.45486787024997,207,5,Tool Wear Failure
1,299.42066141179015,309.87251970578694,1808,25.01404729388868,225,5,Tool Wear Failure
0,300.3,310.81937004943,1383,47.31291336628667,216,5,Tool Wear Failure
2,298.19194766870123,309.2919476687012,1882,25.09917797888175,201,5,Tool Wear Failure
0,301.6060379954245,310.8216983295204,1404,46.36084916476022,207,5,Tool Wear Failure
1,302.1839113571799,310.04125453971545,1443,43.42310003156491,223,5,Tool Wear Failure
1,303.0246342195474,311.43933796863604,1499,45.301751056709485,232,5,Tool Wear Failure
1,300.26377235582544,310.50290181217343,1463,48.3753739785199,239,5,Tool Wear Failure
0,300.5059502801487,309.87024859925646,1395,46.00115476252788,212,5,Tool Wear Failure
1,297.46603185516113,308.3282993664977,1474,40.53773248866353,221,5,Tool Wear Failure
0,300.3,311.26920188421474,1378,47.61280125614317,219,5,Tool Wear Failure
1,298.3007092639635,308.6503546319817,1438,39.05319168783564,215,5,Tool Wear Failure
1,302.27333136230294,310.1207389887137,1444,42.98593556207457,221,5,Tool Wear Failure
2,299.376233229655,309.1627055382758,1867,23.673492719310566,221,5,Tool Wear Failure
1,299.7085723457104,309.7971479014073,1819,24.920012839945898,222,5,Tool Wear Failure
0,301.8959273524843,310.8988892779503,1567,38.995927352484344,214,5,Tool Wear Failure
2,300.06502448237256,311.2049265528823,1688,29.243841808897123,218,5,Tool Wear Failure
2,299.98447508128635,311.04952280116936,1983,21.76209967485465,214,5,Tool Wear Failure
1,299.3838893099213,308.694456632059,1611,35.56327407939017,225,5,Tool Wear Failure
0,301.4704992110352,310.5870443786843,1399,46.650364497052536,215,5,Tool Wear Failure
1,298.5930284694641,308.9180376685141,1542,36.27915900079174,206,5,Tool Wear Failure
1,299.6317303535019,309.7612423050783,1568,37.27093172880871,220,5,Tool Wear Failure
1,300.18309752686645,310.8507074194005,1682,29.68661572574932,224,5,Tool Wear Failure
1,303.0082076737708,311.65598722575,1523,36.052894566333336,213,5,Tool Wear Failure
2,300.3,311.51666360067617,1376,47.77777573378412,220,5,Tool Wear Failure
2,300.50645751755513,309.86771241222425,1395,46.00977779843749,212,5,Tool Wear Failure
2,300.63433398985245,310.31211787877146,1649,30.497980353538093,217,5,Tool Wear Failure
1,298.43893339377803,307.8469203753281,1605,35.16672509857945,226,5,Tool Wear Failure
1,299.8998899582987,309.6564547572253,1400,45.13435201073397,211,5,Tool Wear Failure
1,297.0108715596839,307.82771788992096,1548,35.87853402144277,205,5,Tool Wear Failure
2,301.7591934548254,310.9955160728952,1636,32.76042723690943,223,5,Tool Wear Failure
2,299.6,309.33109245967535,1871,23.39126050268831,223,5,Tool Wear Failure
1,300.4935891830042,310.4950864978257,1655,30.233972957510385,216,5,Tool Wear Failure
2,299.6190158694852,310.70140858292484,1920,23.35000469383141,205,5,Tool Wear Failure
1,301.2025337887322,310.13868655650964,1612,30.380978073171065,233,5,Tool Wear Failure
1,303.08513769442436,311.72353553656774,1522,36.022873094858774,214,5,Tool Wear Failure
1,301.44492336489895,310.775888190427,1571,38.54492336489896,219,5,Tool Wear Failure
1,299.95322392909236,311.0211126628112,1978,21.887104283630656,213,5,Tool Wear Failure
1,298.4105619316351,309.58688217308946,2176,18.425897303288092,213,5,Tool Wear Failure
1,301.4809422589025,309.5992449238639,1440,44.66188451780487,231,5,Tool Wear Failure
1,299.0579023491032,309.37391933186785,1434,41.63263699340533,227,5,Tool Wear Failure
1,301.1861070670761,310.36007205009867,1529,36.57543771221761,203,5,Tool Wear Failure
1,303.3666224050117,311.99769809689735,1521,35.93452854653958,214,5,Tool Wear Failure
1,302.39012277001206,310.22455357334405,1444,42.41495534660782,218,5,Tool Wear Failure
0,300.3864673408063,311.65059009096785,1375,47.8073564205647,221,5,Tool Wear Failure
2,298.1766448833935,308.6844299222624,1623,34.09831517314295,217,5,Tool Wear Failure
2,300.4956533162293,310.24782665811466,1659,30.5,225,5,Tool Wear Failure
1,300.8050874696393,310.3492427519724,1679,30.478679606861085,230,5,Tool Wear Failure
1,301.7380747868057,310.756345797801,1606,30.94261199785764,233,5,Tool Wear Failure
1,298.27614858915473,308.85013981179486,1468,41.27427084622978,219,5,Tool Wear Failure
1,300.04408120098446,309.7658827045346,1584,37.43080902130071,226,5,Tool Wear Failure
1,302.52597715650666,312.0594257586465,1452,53.920978733516165,251,5,Tool Wear Failure
1,300.0603406325815,309.6603406325815,1395,44.7827250606519,214,5,Tool Wear Failure
1,299.5757168957497,308.86625228378097,1588,37.314894749418514,220,5,Tool Wear Failure
1,300.6378606549056,309.68640447587075,1554,38.27184268552245,208,5,Tool Wear Failure
2,300.28207146575244,309.76565717260195,1400,43.209660797943,216,5,Tool Wear Failure
